name,fr3_contact_positions,fr3_contact_fraction,fr3_buried_mean,fr3_min_dist_mean,fr3_pack_res_total_mean,fr3_pack_res_cdr_mean,fr3_pack_res_fr_mean,fr3_pack_atom_total_mean,fr3_pack_atom_cdr_mean,fr3_pack_atom_fr_mean,fr3_rmsd_to_ref,pdb
131I-GMIB-Anti-HER2-VHH1,10,0.2631578947368421,0.7003455332846832,8.978309635422876,13.447368421052632,1.0,12.447368421052632,69.3157894736842,4.5,64.8157894736842,4.519431799894465e-15,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\131I-GMIB-Anti-HER2-VHH1\rank0_unrefined_contig.pdb
68-GaNOTA-Anti-HER2 VHH1,10,0.2631578947368421,0.7003455332846832,8.978309635422876,13.447368421052632,1.0,12.447368421052632,69.3157894736842,4.5,64.8157894736842,4.519431799894465e-15,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\68-GaNOTA-Anti-HER2_VHH1\rank0_unrefined_contig.pdb
ALX-0171,6,0.15789473684210525,0.6682415556092545,9.016419069981568,12.947368421052632,1.0,11.947368421052632,63.473684210526315,4.078947368421052,59.39473684210526,0.3813070120424116,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\ALX-0171\rank0_unrefined_contig.pdb
Brivekimig1,5,0.13157894736842105,0.6927377918472124,9.125793672518142,13.078947368421053,0.7631578947368421,12.31578947368421,66.55263157894737,2.8947368421052633,63.6578947368421,3.3379731344708645,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Brivekimig1\rank0_unrefined_contig.pdb
Brivekimig2,10,0.2631578947368421,0.7006330473845932,8.945379246336104,13.447368421052632,0.9210526315789473,12.526315789473685,69.23684210526316,4.2894736842105265,64.94736842105263,0.16621439161831011,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Brivekimig2\rank0_unrefined_contig.pdb
Caplacizumab,8,0.21052631578947367,0.6941867086867237,8.867228169460725,13.5,1.0263157894736843,12.473684210526315,68.21052631578948,4.157894736842105,64.05263157894737,0.3452486161142447,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Caplacizumab\rank0_unrefined_contig.pdb
CD20 VHH CAR-T,10,0.2631578947368421,0.7003455332846832,8.978309635422876,13.447368421052632,1.0,12.447368421052632,69.3157894736842,4.5,64.8157894736842,4.519431799894465e-15,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\CD20_VHH_CAR-T\rank0_unrefined_contig.pdb
CD33 VHH CAR-T,10,0.2631578947368421,0.7003455332846832,8.978309635422876,13.447368421052632,1.0,12.447368421052632,69.3157894736842,4.5,64.8157894736842,4.519431799894465e-15,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\CD33_VHH_CAR-T\rank0_unrefined_contig.pdb
Ciltacabtagene autoleucel (cilta-cel),7,0.18421052631578946,0.6804959243989636,9.5447251884258,13.368421052631579,0.7631578947368421,12.605263157894736,67.1842105263158,2.710526315789474,64.47368421052632,0.31139815617253847,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Ciltacabtagene_autoleucel_cilta-cel\rank0_unrefined_contig.pdb
Enristomig,7,0.18421052631578946,0.6766207407897755,9.269870842496697,13.342105263157896,0.8157894736842105,12.526315789473685,67.52631578947368,3.3157894736842106,64.21052631578948,3.3609876401060106,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Enristomig\rank0_unrefined_contig.pdb
Envafolimab,6,0.15789473684210525,0.6782139235553339,8.610489781822645,13.210526315789474,0.9736842105263158,12.236842105263158,66.39473684210526,3.8684210526315788,62.526315789473685,0.36791028756168065,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Envafolimab\rank0_unrefined_contig.pdb
Erfonrilimab,6,0.15789473684210525,0.6782139235553339,8.610489781822645,13.210526315789474,0.9736842105263158,12.236842105263158,66.39473684210526,3.8684210526315788,62.526315789473685,0.36791028756168065,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Erfonrilimab\rank0_unrefined_contig.pdb
Gefurulimab,10,0.2631578947368421,0.6926506286468106,8.379829637436913,13.421052631578947,1.1578947368421053,12.263157894736842,67.39473684210526,4.657894736842105,62.73684210526316,3.2908984130055696,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Gefurulimab\rank0_unrefined_contig.pdb
Gocatamig1,9,0.23684210526315788,0.6824412120841572,8.713096615815738,13.131578947368421,0.9736842105263158,12.157894736842104,67.8157894736842,4.7894736842105265,63.026315789473685,5.706636960980238,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Gocatamig1\rank0_unrefined_contig.pdb
Gocatamig2,6,0.15789473684210525,0.6790168015991472,8.730416722747242,13.421052631578947,0.9736842105263158,12.447368421052632,66.07894736842105,3.6842105263157894,62.39473684210526,3.3181477668487904,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Gocatamig2\rank0_unrefined_contig.pdb
Gontivimab,6,0.15789473684210525,0.6682415556092545,9.016419069981568,12.947368421052632,1.0,11.947368421052632,63.473684210526315,4.078947368421052,59.39473684210526,0.3813070120424116,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Gontivimab\rank0_unrefined_contig.pdb
HER2 VHH CAR-T,10,0.2631578947368421,0.7003455332846832,8.978309635422876,13.447368421052632,1.0,12.447368421052632,69.3157894736842,4.5,64.8157894736842,4.519431799894465e-15,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\HER2_VHH_CAR-T\rank0_unrefined_contig.pdb
Isecarosmab,8,0.21052631578947367,0.6975081805133059,8.376363373884535,13.552631578947368,1.105263157894737,12.447368421052632,69.07894736842105,4.868421052631579,64.21052631578948,0.318946665130759,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Isecarosmab\rank0_unrefined_contig.pdb
LCAR-B38M,7,0.18421052631578946,0.6804959243989636,9.5447251884258,13.368421052631579,0.7631578947368421,12.605263157894736,67.1842105263158,2.710526315789474,64.47368421052632,0.31139815617253847,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\LCAR-B38M\rank0_unrefined_contig.pdb
Letolizumab,9,0.23684210526315788,0.6931690215804269,8.871873030575257,13.552631578947368,1.0263157894736843,12.526315789473685,68.65789473684211,4.657894736842105,64.0,0.27779278141312663,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Letolizumab\rank0_unrefined_contig.pdb
Nb V565,10,0.2631578947368421,0.6869620582661997,8.96264303343452,13.289473684210526,0.9473684210526315,12.342105263157896,69.13157894736842,4.473684210526316,64.65789473684211,0.22241340048970298,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Nb_V565\rank0_unrefined_contig.pdb
Ozekibart,10,0.2631578947368421,0.6901504355507224,8.830828594068713,13.763157894736842,1.263157894736842,12.5,68.86842105263158,5.473684210526316,63.39473684210526,0.30458979325741276,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Ozekibart\rank0_unrefined_contig.pdb
Ozoralizumab,10,0.2631578947368421,0.6869620582661997,8.96264303343452,13.289473684210526,0.9473684210526315,12.342105263157896,69.13157894736842,4.473684210526316,64.65789473684211,0.22241340048970298,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\Ozoralizumab\rank0_unrefined_contig.pdb
PD-L1 VHH CAR-T,6,0.15789473684210525,0.6782139235553339,8.610489781822645,13.210526315789474,0.9736842105263158,12.236842105263158,66.39473684210526,3.8684210526315788,62.526315789473685,0.36791028756168065,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\vhh_clinical_39_union\immunebuilder_models\PD-L1_VHH_CAR-T\rank0_unrefined_contig.pdb
