antibody_id,strategy_group,h2_class,global_human_identity_pct,fr1_human_pct,fr1_vicugna_pct,fr1_delta_human_minus_vicugna,fr2_human_pct,fr2_vicugna_pct,fr2_delta_human_minus_vicugna,fr3_human_pct,fr3_vicugna_pct,fr3_delta_human_minus_vicugna,fr4_human_pct,fr4_vicugna_pct,fr4_delta_human_minus_vicugna,fr1_fr3_human_pct,fr1_fr3_vicugna_pct,fr1_fr3_delta
Brivekimig1,Native,H2-10-1,85.0,96.0,92.0,4.0,17.647058823529413,5.88235294117647,11.764705882352942,14.285714285714285,10.344827586206897,3.940886699507388,9.090909090909092,0.0,9.090909090909092,44.827586206896555,42.857142857142854,1.970443349753701
Brivekimig2,BM,H2-10-1,92.5,100.0,96.0,4.0,17.647058823529413,11.76470588235294,5.882352941176473,14.285714285714285,10.344827586206897,3.940886699507388,0.0,0.0,0.0,46.55172413793103,46.42857142857143,0.12315270935960143
Caplacizumab,SR,H2-10-1,87.5,100.0,100.0,0.0,17.647058823529413,11.76470588235294,5.882352941176473,14.285714285714285,3.4482758620689653,10.83743842364532,9.090909090909092,0.0,9.090909090909092,48.333333333333336,44.642857142857146,3.69047619047619
Enristomig,BM,H2-9-1,87.5,96.0,92.0,4.0,11.76470588235294,11.76470588235294,0.0,15.789473684210526,9.090909090909092,6.698564593301434,9.090909090909092,0.0,9.090909090909092,44.827586206896555,44.642857142857146,0.18472906403940925
Envafolimab,SR,H2-10-1,88.75,96.0,100.0,-4.0,17.647058823529413,11.76470588235294,5.882352941176473,14.285714285714285,10.344827586206897,3.940886699507388,9.090909090909092,0.0,9.090909090909092,46.55172413793103,46.42857142857143,0.12315270935960143
Erfonrilimab,SR,H2-10-1,88.75,96.0,100.0,-4.0,17.647058823529413,11.76470588235294,5.882352941176473,14.285714285714285,10.344827586206897,3.940886699507388,9.090909090909092,0.0,9.090909090909092,46.55172413793103,46.42857142857143,0.12315270935960143
Gefurulimab,BM,H2-9-1,90.0,100.0,96.0,4.0,17.647058823529413,17.647058823529413,0.0,15.151515151515152,12.121212121212121,3.030303030303031,9.090909090909092,0.0,9.090909090909092,50.0,48.214285714285715,1.7857142857142847
Gocatamig2,BM,H2-9-1,86.25,96.0,96.0,0.0,17.647058823529413,17.647058823529413,0.0,14.285714285714285,9.090909090909092,5.194805194805193,9.090909090909092,0.0,9.090909090909092,48.275862068965516,46.42857142857143,1.8472906403940854
Isecarosmab,Native,H2-10-1,85.0,96.0,92.0,4.0,17.647058823529413,11.76470588235294,5.882352941176473,14.285714285714285,10.344827586206897,3.940886699507388,9.090909090909092,0.0,9.090909090909092,44.827586206896555,42.857142857142854,1.970443349753701
Letolizumab,BM,H2-10-1,96.25,100.0,96.0,4.0,23.52941176470588,17.647058823529413,5.8823529411764675,14.285714285714285,10.344827586206897,3.940886699507388,9.090909090909092,0.0,9.090909090909092,46.55172413793103,46.42857142857143,0.12315270935960143
Ozekibart,BM,H2-10-1,88.75,96.0,92.0,4.0,11.76470588235294,11.76470588235294,0.0,15.789473684210526,9.090909090909092,6.698564593301434,9.090909090909092,0.0,9.090909090909092,44.827586206896555,44.642857142857146,0.18472906403940925
Ozoralizumab,SR,H2-10-1,92.5,100.0,100.0,0.0,17.647058823529413,11.76470588235294,5.882352941176473,14.285714285714285,9.090909090909092,5.194805194805193,9.090909090909092,0.0,9.090909090909092,48.275862068965516,48.214285714285715,0.061576354679800716
Podentamig1,Native,unknown,85.0,96.0,92.0,4.0,17.647058823529413,5.88235294117647,11.764705882352942,14.285714285714285,9.090909090909092,5.194805194805193,9.090909090909092,0.0,9.090909090909092,44.827586206896555,44.642857142857146,0.18472906403940925
Porustobart,BM,H2-9-1,97.5,96.0,92.0,4.0,17.647058823529413,11.76470588235294,5.882352941176473,14.285714285714285,13.793103448275861,0.4926108374384235,9.090909090909092,0.0,9.090909090909092,44.827586206896555,44.642857142857146,0.18472906403940925
Rimteravimab,SR,H2-10-1,86.25,96.0,96.0,0.0,17.647058823529413,5.88235294117647,11.764705882352942,21.428571428571427,6.896551724137931,14.532019704433496,9.090909090909092,0.0,9.090909090909092,46.55172413793103,44.642857142857146,1.9088669950738861
Sonelokimab1,Native,H2-10-1,85.0,96.0,96.0,0.0,11.76470588235294,11.76470588235294,0.0,14.285714285714285,10.344827586206897,3.940886699507388,9.090909090909092,0.0,9.090909090909092,46.55172413793103,46.42857142857143,0.12315270935960143
Sonelokimab2,SR,H2-10-1,91.25,100.0,100.0,0.0,17.647058823529413,5.88235294117647,11.764705882352942,14.285714285714285,10.344827586206897,3.940886699507388,9.090909090909092,0.0,9.090909090909092,48.275862068965516,48.214285714285715,0.061576354679800716
Tarperprumig,BM,H2-9-1,90.0,100.0,96.0,4.0,17.647058823529413,17.647058823529413,0.0,15.151515151515152,12.121212121212121,3.030303030303031,9.090909090909092,0.0,9.090909090909092,48.275862068965516,48.214285714285715,0.061576354679800716
Vobarilizumab,SR,H2-9-1,90.0,100.0,100.0,0.0,17.647058823529413,17.647058823529413,0.0,14.285714285714285,9.090909090909092,5.194805194805193,9.090909090909092,0.0,9.090909090909092,48.275862068965516,48.214285714285715,0.061576354679800716
