antibody_1,strategy_1,antibody_2,strategy_2,fr1_identity_pct
Brivekimig1,Native,Brivekimig1,Native,100.0
Brivekimig1,Native,Brivekimig2,BM,96.0
Brivekimig1,Native,Caplacizumab,SR,92.0
Brivekimig1,Native,Enristomig,BM,88.0
Brivekimig1,Native,Envafolimab,SR,92.0
Brivekimig1,Native,Erfonrilimab,SR,92.0
Brivekimig1,Native,Gefurulimab,BM,88.0
Brivekimig1,Native,Gocatamig2,BM,88.0
Brivekimig1,Native,Isecarosmab,Native,100.0
Brivekimig1,Native,Letolizumab,BM,88.0
Brivekimig1,Native,Ozekibart,BM,88.0
Brivekimig1,Native,Ozoralizumab,SR,92.0
Brivekimig1,Native,Podentamig1,Native,84.0
Brivekimig1,Native,Porustobart,BM,84.0
Brivekimig1,Native,Rimteravimab,SR,96.0
Brivekimig1,Native,Sonelokimab1,Native,96.0
Brivekimig1,Native,Sonelokimab2,SR,92.0
Brivekimig1,Native,Tarperprumig,BM,88.0
Brivekimig1,Native,Vobarilizumab,SR,92.0
Brivekimig2,BM,Brivekimig1,Native,96.0
Brivekimig2,BM,Brivekimig2,BM,100.0
Brivekimig2,BM,Caplacizumab,SR,96.0
Brivekimig2,BM,Enristomig,BM,92.0
Brivekimig2,BM,Envafolimab,SR,92.0
Brivekimig2,BM,Erfonrilimab,SR,92.0
Brivekimig2,BM,Gefurulimab,BM,92.0
Brivekimig2,BM,Gocatamig2,BM,92.0
Brivekimig2,BM,Isecarosmab,Native,96.0
Brivekimig2,BM,Letolizumab,BM,92.0
Brivekimig2,BM,Ozekibart,BM,92.0
Brivekimig2,BM,Ozoralizumab,SR,96.0
Brivekimig2,BM,Podentamig1,Native,88.0
Brivekimig2,BM,Porustobart,BM,88.0
Brivekimig2,BM,Rimteravimab,SR,92.0
Brivekimig2,BM,Sonelokimab1,Native,92.0
Brivekimig2,BM,Sonelokimab2,SR,96.0
Brivekimig2,BM,Tarperprumig,BM,88.0
Brivekimig2,BM,Vobarilizumab,SR,96.0
Caplacizumab,SR,Brivekimig1,Native,92.0
Caplacizumab,SR,Brivekimig2,BM,96.0
Caplacizumab,SR,Caplacizumab,SR,100.0
Caplacizumab,SR,Enristomig,BM,92.0
Caplacizumab,SR,Envafolimab,SR,96.0
Caplacizumab,SR,Erfonrilimab,SR,96.0
Caplacizumab,SR,Gefurulimab,BM,96.0
Caplacizumab,SR,Gocatamig2,BM,96.0
Caplacizumab,SR,Isecarosmab,Native,92.0
Caplacizumab,SR,Letolizumab,BM,96.0
Caplacizumab,SR,Ozekibart,BM,92.0
Caplacizumab,SR,Ozoralizumab,SR,100.0
Caplacizumab,SR,Podentamig1,Native,92.0
Caplacizumab,SR,Porustobart,BM,92.0
Caplacizumab,SR,Rimteravimab,SR,96.0
Caplacizumab,SR,Sonelokimab1,Native,96.0
Caplacizumab,SR,Sonelokimab2,SR,100.0
Caplacizumab,SR,Tarperprumig,BM,92.0
Caplacizumab,SR,Vobarilizumab,SR,100.0
Enristomig,BM,Brivekimig1,Native,88.0
Enristomig,BM,Brivekimig2,BM,92.0
Enristomig,BM,Caplacizumab,SR,92.0
Enristomig,BM,Enristomig,BM,100.0
Enristomig,BM,Envafolimab,SR,88.0
Enristomig,BM,Erfonrilimab,SR,88.0
Enristomig,BM,Gefurulimab,BM,88.0
Enristomig,BM,Gocatamig2,BM,88.0
Enristomig,BM,Isecarosmab,Native,88.0
Enristomig,BM,Letolizumab,BM,96.0
Enristomig,BM,Ozekibart,BM,100.0
Enristomig,BM,Ozoralizumab,SR,92.0
Enristomig,BM,Podentamig1,Native,84.0
Enristomig,BM,Porustobart,BM,84.0
Enristomig,BM,Rimteravimab,SR,88.0
Enristomig,BM,Sonelokimab1,Native,88.0
Enristomig,BM,Sonelokimab2,SR,92.0
Enristomig,BM,Tarperprumig,BM,84.0
Enristomig,BM,Vobarilizumab,SR,92.0
Envafolimab,SR,Brivekimig1,Native,92.0
Envafolimab,SR,Brivekimig2,BM,92.0
Envafolimab,SR,Caplacizumab,SR,96.0
Envafolimab,SR,Enristomig,BM,88.0
Envafolimab,SR,Envafolimab,SR,100.0
Envafolimab,SR,Erfonrilimab,SR,100.0
Envafolimab,SR,Gefurulimab,BM,92.0
Envafolimab,SR,Gocatamig2,BM,92.0
Envafolimab,SR,Isecarosmab,Native,92.0
Envafolimab,SR,Letolizumab,BM,92.0
Envafolimab,SR,Ozekibart,BM,88.0
Envafolimab,SR,Ozoralizumab,SR,96.0
Envafolimab,SR,Podentamig1,Native,88.0
Envafolimab,SR,Porustobart,BM,88.0
Envafolimab,SR,Rimteravimab,SR,96.0
Envafolimab,SR,Sonelokimab1,Native,96.0
Envafolimab,SR,Sonelokimab2,SR,96.0
Envafolimab,SR,Tarperprumig,BM,96.0
Envafolimab,SR,Vobarilizumab,SR,96.0
Erfonrilimab,SR,Brivekimig1,Native,92.0
Erfonrilimab,SR,Brivekimig2,BM,92.0
Erfonrilimab,SR,Caplacizumab,SR,96.0
Erfonrilimab,SR,Enristomig,BM,88.0
Erfonrilimab,SR,Envafolimab,SR,100.0
Erfonrilimab,SR,Erfonrilimab,SR,100.0
Erfonrilimab,SR,Gefurulimab,BM,92.0
Erfonrilimab,SR,Gocatamig2,BM,92.0
Erfonrilimab,SR,Isecarosmab,Native,92.0
Erfonrilimab,SR,Letolizumab,BM,92.0
Erfonrilimab,SR,Ozekibart,BM,88.0
Erfonrilimab,SR,Ozoralizumab,SR,96.0
Erfonrilimab,SR,Podentamig1,Native,88.0
Erfonrilimab,SR,Porustobart,BM,88.0
Erfonrilimab,SR,Rimteravimab,SR,96.0
Erfonrilimab,SR,Sonelokimab1,Native,96.0
Erfonrilimab,SR,Sonelokimab2,SR,96.0
Erfonrilimab,SR,Tarperprumig,BM,96.0
Erfonrilimab,SR,Vobarilizumab,SR,96.0
Gefurulimab,BM,Brivekimig1,Native,88.0
Gefurulimab,BM,Brivekimig2,BM,92.0
Gefurulimab,BM,Caplacizumab,SR,96.0
Gefurulimab,BM,Enristomig,BM,88.0
Gefurulimab,BM,Envafolimab,SR,92.0
Gefurulimab,BM,Erfonrilimab,SR,92.0
Gefurulimab,BM,Gefurulimab,BM,100.0
Gefurulimab,BM,Gocatamig2,BM,92.0
Gefurulimab,BM,Isecarosmab,Native,88.0
Gefurulimab,BM,Letolizumab,BM,92.0
Gefurulimab,BM,Ozekibart,BM,88.0
Gefurulimab,BM,Ozoralizumab,SR,96.0
Gefurulimab,BM,Podentamig1,Native,88.0
Gefurulimab,BM,Porustobart,BM,88.0
Gefurulimab,BM,Rimteravimab,SR,92.0
Gefurulimab,BM,Sonelokimab1,Native,92.0
Gefurulimab,BM,Sonelokimab2,SR,96.0
Gefurulimab,BM,Tarperprumig,BM,96.0
Gefurulimab,BM,Vobarilizumab,SR,96.0
Gocatamig2,BM,Brivekimig1,Native,88.0
Gocatamig2,BM,Brivekimig2,BM,92.0
Gocatamig2,BM,Caplacizumab,SR,96.0
Gocatamig2,BM,Enristomig,BM,88.0
Gocatamig2,BM,Envafolimab,SR,92.0
Gocatamig2,BM,Erfonrilimab,SR,92.0
Gocatamig2,BM,Gefurulimab,BM,92.0
Gocatamig2,BM,Gocatamig2,BM,100.0
Gocatamig2,BM,Isecarosmab,Native,88.0
Gocatamig2,BM,Letolizumab,BM,92.0
Gocatamig2,BM,Ozekibart,BM,88.0
Gocatamig2,BM,Ozoralizumab,SR,96.0
Gocatamig2,BM,Podentamig1,Native,96.0
Gocatamig2,BM,Porustobart,BM,88.0
Gocatamig2,BM,Rimteravimab,SR,92.0
Gocatamig2,BM,Sonelokimab1,Native,92.0
Gocatamig2,BM,Sonelokimab2,SR,96.0
Gocatamig2,BM,Tarperprumig,BM,88.0
Gocatamig2,BM,Vobarilizumab,SR,96.0
Isecarosmab,Native,Brivekimig1,Native,100.0
Isecarosmab,Native,Brivekimig2,BM,96.0
Isecarosmab,Native,Caplacizumab,SR,92.0
Isecarosmab,Native,Enristomig,BM,88.0
Isecarosmab,Native,Envafolimab,SR,92.0
Isecarosmab,Native,Erfonrilimab,SR,92.0
Isecarosmab,Native,Gefurulimab,BM,88.0
Isecarosmab,Native,Gocatamig2,BM,88.0
Isecarosmab,Native,Isecarosmab,Native,100.0
Isecarosmab,Native,Letolizumab,BM,88.0
Isecarosmab,Native,Ozekibart,BM,88.0
Isecarosmab,Native,Ozoralizumab,SR,92.0
Isecarosmab,Native,Podentamig1,Native,84.0
Isecarosmab,Native,Porustobart,BM,84.0
Isecarosmab,Native,Rimteravimab,SR,96.0
Isecarosmab,Native,Sonelokimab1,Native,96.0
Isecarosmab,Native,Sonelokimab2,SR,92.0
Isecarosmab,Native,Tarperprumig,BM,88.0
Isecarosmab,Native,Vobarilizumab,SR,92.0
Letolizumab,BM,Brivekimig1,Native,88.0
Letolizumab,BM,Brivekimig2,BM,92.0
Letolizumab,BM,Caplacizumab,SR,96.0
Letolizumab,BM,Enristomig,BM,96.0
Letolizumab,BM,Envafolimab,SR,92.0
Letolizumab,BM,Erfonrilimab,SR,92.0
Letolizumab,BM,Gefurulimab,BM,92.0
Letolizumab,BM,Gocatamig2,BM,92.0
Letolizumab,BM,Isecarosmab,Native,88.0
Letolizumab,BM,Letolizumab,BM,100.0
Letolizumab,BM,Ozekibart,BM,96.0
Letolizumab,BM,Ozoralizumab,SR,96.0
Letolizumab,BM,Podentamig1,Native,88.0
Letolizumab,BM,Porustobart,BM,88.0
Letolizumab,BM,Rimteravimab,SR,92.0
Letolizumab,BM,Sonelokimab1,Native,92.0
Letolizumab,BM,Sonelokimab2,SR,96.0
Letolizumab,BM,Tarperprumig,BM,88.0
Letolizumab,BM,Vobarilizumab,SR,96.0
Ozekibart,BM,Brivekimig1,Native,88.0
Ozekibart,BM,Brivekimig2,BM,92.0
Ozekibart,BM,Caplacizumab,SR,92.0
Ozekibart,BM,Enristomig,BM,100.0
Ozekibart,BM,Envafolimab,SR,88.0
Ozekibart,BM,Erfonrilimab,SR,88.0
Ozekibart,BM,Gefurulimab,BM,88.0
Ozekibart,BM,Gocatamig2,BM,88.0
Ozekibart,BM,Isecarosmab,Native,88.0
Ozekibart,BM,Letolizumab,BM,96.0
Ozekibart,BM,Ozekibart,BM,100.0
Ozekibart,BM,Ozoralizumab,SR,92.0
Ozekibart,BM,Podentamig1,Native,84.0
Ozekibart,BM,Porustobart,BM,84.0
Ozekibart,BM,Rimteravimab,SR,88.0
Ozekibart,BM,Sonelokimab1,Native,88.0
Ozekibart,BM,Sonelokimab2,SR,92.0
Ozekibart,BM,Tarperprumig,BM,84.0
Ozekibart,BM,Vobarilizumab,SR,92.0
Ozoralizumab,SR,Brivekimig1,Native,92.0
Ozoralizumab,SR,Brivekimig2,BM,96.0
Ozoralizumab,SR,Caplacizumab,SR,100.0
Ozoralizumab,SR,Enristomig,BM,92.0
Ozoralizumab,SR,Envafolimab,SR,96.0
Ozoralizumab,SR,Erfonrilimab,SR,96.0
Ozoralizumab,SR,Gefurulimab,BM,96.0
Ozoralizumab,SR,Gocatamig2,BM,96.0
Ozoralizumab,SR,Isecarosmab,Native,92.0
Ozoralizumab,SR,Letolizumab,BM,96.0
Ozoralizumab,SR,Ozekibart,BM,92.0
Ozoralizumab,SR,Ozoralizumab,SR,100.0
Ozoralizumab,SR,Podentamig1,Native,92.0
Ozoralizumab,SR,Porustobart,BM,92.0
Ozoralizumab,SR,Rimteravimab,SR,96.0
Ozoralizumab,SR,Sonelokimab1,Native,96.0
Ozoralizumab,SR,Sonelokimab2,SR,100.0
Ozoralizumab,SR,Tarperprumig,BM,92.0
Ozoralizumab,SR,Vobarilizumab,SR,100.0
Podentamig1,Native,Brivekimig1,Native,84.0
Podentamig1,Native,Brivekimig2,BM,88.0
Podentamig1,Native,Caplacizumab,SR,92.0
Podentamig1,Native,Enristomig,BM,84.0
Podentamig1,Native,Envafolimab,SR,88.0
Podentamig1,Native,Erfonrilimab,SR,88.0
Podentamig1,Native,Gefurulimab,BM,88.0
Podentamig1,Native,Gocatamig2,BM,96.0
Podentamig1,Native,Isecarosmab,Native,84.0
Podentamig1,Native,Letolizumab,BM,88.0
Podentamig1,Native,Ozekibart,BM,84.0
Podentamig1,Native,Ozoralizumab,SR,92.0
Podentamig1,Native,Podentamig1,Native,100.0
Podentamig1,Native,Porustobart,BM,84.0
Podentamig1,Native,Rimteravimab,SR,88.0
Podentamig1,Native,Sonelokimab1,Native,88.0
Podentamig1,Native,Sonelokimab2,SR,92.0
Podentamig1,Native,Tarperprumig,BM,84.0
Podentamig1,Native,Vobarilizumab,SR,92.0
Porustobart,BM,Brivekimig1,Native,84.0
Porustobart,BM,Brivekimig2,BM,88.0
Porustobart,BM,Caplacizumab,SR,92.0
Porustobart,BM,Enristomig,BM,84.0
Porustobart,BM,Envafolimab,SR,88.0
Porustobart,BM,Erfonrilimab,SR,88.0
Porustobart,BM,Gefurulimab,BM,88.0
Porustobart,BM,Gocatamig2,BM,88.0
Porustobart,BM,Isecarosmab,Native,84.0
Porustobart,BM,Letolizumab,BM,88.0
Porustobart,BM,Ozekibart,BM,84.0
Porustobart,BM,Ozoralizumab,SR,92.0
Porustobart,BM,Podentamig1,Native,84.0
Porustobart,BM,Porustobart,BM,100.0
Porustobart,BM,Rimteravimab,SR,88.0
Porustobart,BM,Sonelokimab1,Native,88.0
Porustobart,BM,Sonelokimab2,SR,92.0
Porustobart,BM,Tarperprumig,BM,84.0
Porustobart,BM,Vobarilizumab,SR,92.0
Rimteravimab,SR,Brivekimig1,Native,96.0
Rimteravimab,SR,Brivekimig2,BM,92.0
Rimteravimab,SR,Caplacizumab,SR,96.0
Rimteravimab,SR,Enristomig,BM,88.0
Rimteravimab,SR,Envafolimab,SR,96.0
Rimteravimab,SR,Erfonrilimab,SR,96.0
Rimteravimab,SR,Gefurulimab,BM,92.0
Rimteravimab,SR,Gocatamig2,BM,92.0
Rimteravimab,SR,Isecarosmab,Native,96.0
Rimteravimab,SR,Letolizumab,BM,92.0
Rimteravimab,SR,Ozekibart,BM,88.0
Rimteravimab,SR,Ozoralizumab,SR,96.0
Rimteravimab,SR,Podentamig1,Native,88.0
Rimteravimab,SR,Porustobart,BM,88.0
Rimteravimab,SR,Rimteravimab,SR,100.0
Rimteravimab,SR,Sonelokimab1,Native,100.0
Rimteravimab,SR,Sonelokimab2,SR,96.0
Rimteravimab,SR,Tarperprumig,BM,92.0
Rimteravimab,SR,Vobarilizumab,SR,96.0
Sonelokimab1,Native,Brivekimig1,Native,96.0
Sonelokimab1,Native,Brivekimig2,BM,92.0
Sonelokimab1,Native,Caplacizumab,SR,96.0
Sonelokimab1,Native,Enristomig,BM,88.0
Sonelokimab1,Native,Envafolimab,SR,96.0
Sonelokimab1,Native,Erfonrilimab,SR,96.0
Sonelokimab1,Native,Gefurulimab,BM,92.0
Sonelokimab1,Native,Gocatamig2,BM,92.0
